text,predicted_label
halo kak beneran ini boleh cerita ke kakakjujur pengen banget ke psikolog tp takut mahal banget diluar budget dan masih nyari rekomendasi psikolog setelah nikah aku ngerasa kaya diriku tuh bukan aku sering banget mendem dan nangis ngerasa marahsedihkecewa tp aku gabisa,tekanan sosial
nahhhh aku jg mikir gini takut ntar kalo nikah emang beneran pelit kita ga pernah nuntut bukan berarti dia jadi ga effort gt looo beliin sesuatu kan ga harus mahal rb pun udah kami pamerin ke seluruh dunia kok,takut gagal membangun keluarga
banyak pasangan muda sekarang pilih kumpul kebo ketimbang nikah bukan semata soal moral tapi karena biaya nikah mahal takut gagal kayak orangtuanya sampai trauma sama sistem yang dirasa nggak adil ini bukan sekadar gaya hidupini cermin soal relasi dan kepercayaan,takut gagal membangun keluarga
jiwa maskulinku suka ovt takut jd beban dan gabisa bantu apa apa soal keuangan krn nikah aja dh mahal bgt di rmh tangga nanti jg bakal lbh banyak pengeluarannya,tekanan sosial
ovt takut beban aja gtu kalau gabisa bantu banyak apalagi nikah tu mahal,tekanan sosial
gw semangatin orang tua atau anak muda yang nikah tapi takut punya anak karena ada yang posting kebutuhan bayi mahal gw sebagai praktiksi gw kasih pengalaman w eh malah dibandingin sama orang borju terus aja kek gtu nih kesenjangan akal dan ekonomi ga pernah selesai,alasan ekonomi
takut nikah krn haraga vendor mahal,tekanan sosial
aku jadi ingat pernah dimarahin temanku karna ngomong aku takut kehidupan setelah nikah dengan kondisiku yg sekarang soalnya belajar dari pengalaman sendiri kebutuhan anak itu banyak nuntut ilmu mahal takut punya keluarga ga bahagia habis nikah karna masalah finansial,tekanan sosial
orang banyak yang takut nikah salah satu faktornya karena ekonomi banyak yang berpikir buat hidup sendiri aja mahal apalagi buat hidup sekeluarga,alasan ekonomi
indeed makanya sampe skrg ga kepikiran nikah krn ngebiayain hidup sendiri aja rasanya mahal apalagi berkeluarga ah takut bukanny gapercaya rejeki tp realistis aja rejeki klo ga diusahain ya sama aja boong,tidak percaya pasangan
mereka gak mau nikah dan punya anak karena jadi korban seksualitas laki sengklek gak sih alasan utama mungkin karena biaya hidup mahal tapi alasan utama ke takut ketemu laki otak sange ntar kalo dah ada anak jadi pedo bangsattttt tau ah,tidak ingin menikah
aku skrg pake pembalut yoona dia organic gt dan so far ga pernah lecet lg cuma menurutku downsidenya dia mahal wkwk aku ga berani kak pake menscup walaupun aku udah nikah aku takut ribet bersihinnya terus kalo ga proper malah bikin penyakit tp kalo kamu berani coba aja kaaak,takut gagal membangun keluarga
pas aku daftar snmptn dulu jga nekat aja padahal mah ketar ketir takut ukt nya mahal karna aku ya team kaka udh pada nikah alhamdulillah lolos dengan ukt jt,takut gagal membangun keluarga
bohong nder w aja takut hamil ih banyak lho tmn ku yg dah nikah pada takut hamil lagi saking punya bayi tuh mahal kalo bner mau berkualitas ya bukan seadanya jaga badan kesehatan pokoknya klo kesuburan menurun bukan brarti susah punya anak itu tergantung dri keduanya,takut gagal membangun keluarga
ini cewe yg ngomong gini jahat bgt seakan akan perempuan itu barang yg bisa dijual beli banyak alasan knp perempuan milih nunda nikah cepat nikah atau ga nikah value perempuan sama aja kok ga ada yg makin murah atau mahal takut bgt malah nemu pasangan yg pola pikirnya gini,tidak percaya pasangan
kalo menurut aku sih murah banget nder aku ga tau finansialnya gimana tapi kalo buat seserahan berasa mahal gimana pas udah nikah takut beli skincare nanti suaminya keberatan tapi kalo sendernya ngerasa ngga masalah ya ngga papa,tidak percaya pasangan
pengen ih nikah resepsinya di hachi grill wkwkwk ga usah takut kurang makanannya gausah dekor yang berpuluh juta makan kenyang tamu senang kami senang ga bekal mahal juga gak sii,alasan ekonomi
mikirin kehidupan dan biaya hidup yg semakin mahal takut banget ga bisa jg ortu yg baik bagi anak karena dunia ini udah jahat banget makanya ga mau nikah dan melahirkan generasi hanya untuk dunia yg jahat,tidak percaya pasangan
biaya hidup mahal banyak anak muda kesulitan beli rumah bayar sewa bahkan sekadar hidup layak akhirnya menunda pernikahan fokus ke karier dulu sudah nikah pun takut punya anak banyak juga yang memilih childfree,tekanan sosial
kak mjb no salty aku cewe dan aku mikir kita hidup sebagai wanita tuh kalo nikahberasa dibeli entahlah murah atau mahal maharnya aku merasanya kita emang dibeli dg seumur hidup yg gatau jaminan ke depannya kita nanti bagaimana plz takut bgt menikah,alasan ekonomi
eh keren juga ni solusi cocok buat yang hamil diluar nikah gamau nikah mau aborsi mahal beli cytotec juga mahal takut hmmm menarik,tekanan sosial
astagfirullah wonwoo islam eh bener kata ustadzku juga gitu tau waktu itu harus tetep posthink ya jangan beli yg mahal permen dapet kok apa es cekek asiknyaa ditonton ehhh jangan nikah dulu yaa takut banget ntar dihujat knetz,tekanan sosial
kalo lagi bahas nikah diusia matang dia bilang jangan tua kalo nikah gausah takut susah nikah membuka rezeki meanwhile kerjaan lakinya gajelas dia minjem duit sana sini anak ga keurus makanan anaknya asalnya biaya sekolah udah mahal kebayang ga siapa yg jadi korban,alasan ekonomi
iyain aja kak laki modelan begitu antara udh punya wil atau emg gamau tanggungjawab ngasuh anak aja kalo emg punya gangguan takut anaknya kena skizo jg harusnya gausah bikin anak dr awal gausah nikah malah sinting emang jangan lupa minta biaya perawatan anak yg mahal,tekanan sosial
sumpah sea ni mahal bgt sampe jimmy ngode keras bener knp takut di lamar auto nikah kah dek,tidak percaya pasangan
takut gaada yang bisa dibabuin kaka kalau nanti gaada yang beresin rumah sendiri gimana kalau pake prt mahal dan kami tidak sanggup membayarnya kalau nikahin istri gratis semuanya diurusin sama dia makanya kita takut kalau mereka gamau nikah sama kita,tekanan sosial
perasaan berubah dikit lu dah ga cinta ma gw yah perasaan ga berubah samsek lu lagi nipu ya ngedate murah mokondo ngedate mahal ga ada tabungan niat nikah takut nanti cerai ga niat nikah lu bercanda ama gw ya dah ga tau lagi deh gw sakit ini masyarakat,tidak percaya pasangan
ortu gua mah kalo anak ga nikah itu lebih concern nanti anaknya takut sendirian panti jompo itu mahal dan negara ini otaknya belum sampe ke ngomongin kesejahteraan lansia jadi punya pasangan itu privilege mungkin ortu lu juga begitu positif aja berpikirnya,takut gagal membangun keluarga
yes mahal even during nikah last time my mom suruh i pakai but i choose not to sebab tahu mahal i takut hahaha it was pass on generation to generation my family one is red gold,takut gagal membangun keluarga
pen kerja ga kuat drama kerja dgn gaji umr kerja ke luar negeri takut diculik ke kamboja mo nikah trust issues sm cowo boti sedangkan apa pada mahal bjirrr anomali apa aku iniiidah paling bener velocity sambil ngopi aja,tekanan sosial
nikah gampang dan murah harap dicatat ini kebanyakan orang indonesia mempersulitnya musti kasih mahar pesta dan mas kawin yg luar biasa mahal bikin orang takut menikah fakta di lapangan,tekanan sosial
mending pindah klo ada duitny cerita dikit gue jg pernah ngekos rb di kota bekasi lokasi deket bgt dr tempat kerja lantai tp di lt cuman gue lantai atas ada org kyknya lampu lorong dapur km remang tp aku lebih takut sm kosan mahal jadi gas aja sampe nikah,tekanan sosial
ya allah aku baru tau dulu sebelum nikah ada keluarga yg nanyain ke suamiku yakin kowe mbojo wong patitakut diminta seserahan mobilmotor paling mahal atau sapi beberapa ekor karena banyak berita beredar begitu,tekanan sosial
temen gw bentar lg mau nikah hampir mau keceplosan gausah buru punya anak in this economy tapii gajadi takut jadi kaya ngatur amaattt tapiii aduhhh punya anak emang mahal bgt,tekanan sosial
beberapa jawaban untuk pertanyaan seputar kapan nikah kalo apaapa udah ga mahal tanteom hehe jangan lupa nyengir rencananya nanti umur an sih tanom biar kayak orang negara maju ga buruburu tanom takut buruburu cerai jg nantinya hehe nyengir jg,tidak percaya pasangan
aku overthinking banget soal seserahan nikah takut di julidin kalo mahalmurah,takut gagal membangun keluarga
kukira dia peduli gitukan tapi ketika kujelaskan aku pengen menikmati kehidupan selama masa lajang ini loh kok malah dibilang takut nikah kubilang aku ga takut aku cuma banyak pertimbangan apalagi dijaman yang apa mahal ini dirimu pula yang udah an itu takut kah,tekanan sosial
cewe disini emang pada takut nikah biaya hidup mahal pd milih kerja keras pas tua tinggal ambil caregiver buat jagain mereka,tidak percaya pasangan
orang yg takut nikah bukan brarti normalisasiin perzinaan jir in this era economy semuanya serba mahal pasti mikir lah orang dgn gaji pasan kedepannya mau gimana lagian hukum nikah tuh bisa wajib sunnah makruh haram tergantung kondisi orangnya ish emosi ak bacanya,tekanan sosial
emang yang melakukan zina itu orangnya sama dengan yang takut menikah buka mata ga sih dengan keadaan sekarang ini gaji paspasan nikah tuh nanti hidup sehariharinya darimana ngutang belum lagi kalau mau punya anak susu bocil itu mahal loh bisa ratusan ribu,alasan ekonomi
iyaa ka kan udah banyak yg bahas klo aslinya cowo korsel tuh cuek patriarki mertua dr suami jg byk yg galak nah di drakor tuh kayak dicontohin gmn sikap yg seharusnya pemuda korsel jg byk yg takut nikah krn biaya rumah pendidikan disana mahal bgt,tekanan sosial
sebenernya yang kutangkap bukan gak mau menikahnya nder tapi lebih ke takut nikah sama org yg salah dan skrg tuh semua serba mahal gaji umr untuk sendiri aja udh pas pasan banget aplg kalau ngekostngontrak gimana utk berdua belum lagi kalau punya anak,alasan ekonomi
semua kenapa mahal bgt dah buset takut nikah dah gmn ngatur duitnya,tekanan sosial
padahal pil diane itu mahal rencana mau pake ini buat kb setelah nikah ternyata sama aja mamaku juga kena breast cancer karna pake pil kb jadi takut,takut gagal membangun keluarga
oalaa penyebabnya lbh parah yaa ku kira karena biaya hidup mahal doang makanya pda takut nikahpunya anakkk,tekanan sosial
gatau kak aku juga bingung kerja tahun larinya kemane ini pengem nyicil tp second aja cicilannya lumayan jd mikir x belom lg takut ga kebayar karna kerjaan belom netap belom lg umur udah mau nyicil rumah tl mahal juga belom lg persiapan nikah aarrghhjhhdjejwismkw,tekanan sosial
ketawa dikit nenek gue pergi ke orang pinter bayar mahal belum ongkos demi ngobatin gue karena gue gak nikahnikah katanya takut ada yg nempel di bada gue wkwk,tidak percaya pasangan
orang pada pusing amat mau nikah takut biaya mahal padahal bs aja gausah pesta megahmegah kan yg penting sah mending duitnya buat dp rumah,tidak percaya pasangan
rek kalian ada saran mua ta aku mau nikah tp acaranya akad intimate sodara thok trs makanmakan sm keluarga jam an gt takut ketemu mua yg langsung dihajar harga mahal buat akad,alasan ekonomi
kebelet ngewek halaltp ekonimo belum mampu ujung ujung nya anak jd korban itu jaman dl klaau jaman sekarang kua sepi karena mental anak jaman sekarang takut nikah apa apa mahal,tekanan sosial
ada tapi mereka mahal mereka ga takut telat nikah mereka juga punya selera mau punya cewe mahal dan bervalue makanya buat diri kita bervalue pelan lingkungan kita ke saring jadi orang bervalue semua,tekanan sosial
bjir padahal aku tuh gapapa nikah di kua tapi kek sedihnya takut diremehkan sama orang yang pola pikirnya jelek maksudku ketemu cowok yang kek bayi dikasih nikah di kua akhirnya anggap aku babu nikah mahal dikit terus ngungkitngungkit sampai kiamat,takut gagal membangun keluarga
suka mikir emang gw kayanya ga cocok tinggal disini orangnya unfriendly lahan kerja susah apa mahal takut buat nikah jadinya karena apa mahal buat ngempanin anak orang,tekanan sosial
pengen deh nikah gaperlu mahal kaya gini tapi impossible buat aku yang orang sunda terkenal dengan orangtua yang gengsinya tinggi kalau gua buat pesta karena takut jadi omongan tetangga tcih,alasan ekonomi
sumpah seru banget anjir benerannnn niat bgt ada rab sm timse schedule di spreadsheet eh kondangan bnrn kah kita ini kebayaku udah siap sih kmrn baru jahit hihi btw mahal bgt ya nikah anjritlah ini yg intimate aj segini fagg takut bgt dunia btw thanku ka ney udh sgt effort,tidak percaya pasangan
enggak tau kenapa setelah berkeluarga sekarang mau beli barang yg mahal sekrang mikir bgt takut enggak guna padahal dulu sembelum nikah gas aja enggak mikir ini itu apa efek dari bapak ya,tekanan sosial
aku tiap hari selalu ngehindarin jajanan gt always bikin dirumah eh malah sama temen kerjaku dibilang ih si sil mah jarang jajan dia mah duitnya buat modal nikah ya sil wkwk aku ketawa aja pdhl aku menghindari ini takut karena sehat tuh mahal,takut gagal membangun keluarga
jangankan yg janda bang gw yg belom nikah aja pengen nya kawin kontrak ada benefit nya tertulis diatas materai terdaftar notaris trauma kita yg bikin kita takut buat jalanin long relationship sdngkan nikah tanpa perjanjian tuh bikin trust issue cerai jg mahal,tidak percaya pasangan
klo gamau nikah tpi pacaran mah ya mnding nikah aja sekalian biar aman klo gamau nikah krn mahal bisa diakalin nikah yg simpel ga ngundang byk org ga ngumbar trs takut punya anak ya childfree,takut gagal membangun keluarga
sebenarnya mau asi atau sufor ga masalah yang jadi masalah adalah jadiin alesan harga susu mahal buat takut nikah berarti dia belum siap aja buat nikah,tekanan sosial
berusaha maksimalin rajin ke klinik diumur segini dan disaat masih jadi tanggungan ortu biar nanti pas udah nikah gaperlu lagi perawatan yang mahal dan intensif banget karena takut membebani suami dengan treatment muka ku yang mungkin bakal berlebihan sejauh itu pikiran ku,tidak percaya pasangan
jd keinget tmen kuliah punya kakak cowok mau nikah di daerah mereka kalo keluarga cowok ke rumah cewek mau lamaran dan ortunya ngajakin duduk d kursi artinya uang panainya mahal wkt itu ortu s cewek jawa ngajakin duduk di kursi kel temen udah degan takut minta banyak,alasan ekonomi
akad kua aja gak usah pesta rupiah ya paling siap buat beli mas kawin bensin wira wiri ama potokopi berkas syarat kua nikahnya gratis yamg mahal gengsinua jangan takut nikah ya,tekanan sosial
takut ternyata nikah sama orang yg kelihatannya baik eh gataunya redflag takut dapet mertua ya awikwok takut karena apaapa mahal takut gak bisa jadi orang tua yg baik intinya lebih ke kasian anakku lahir di negara yg bobrok gini,tekanan sosial
sebenarnya takut nikah lebih ke takut ngga bisa memenuhi kebutuhan anak sih apalagi sekarang serba mahal,tidak percaya pasangan
makin mahal gue takut nanti setelah nikah malah ekonomi jd masalah terbesar dihubungan gue gamau belum siap terlalu takut dan terlalu banyak mikir jeleknya terus gue masih harus banyak belajar jg dan harus lebih mengenal diri sendiri supaya nanti gue mencintai org dgn,alasan ekonomi
gue udh nikah tp takut jg tekdung biaya anak mahal shay,tekanan sosial
aku pengen pacaran sama dia tapi kadang mikir harga hoodie dia lebih mahal dari gajiku perbulan takut gabisa nafkahin dia kalo nanti udah nikah,tekanan sosial
alasan gua gak pernah nanyain tentang nikah ama pacar karna takut dimarahin tentang harga belis ama harga kuda yg mahal banget,tidak percaya pasangan
masih takut punya anak meskipun bisa pas nikah ga langsung merencanakan punya anak tapi kalo emang dikasih sama yg di atas gimana mental belum siap ditambah biaya pendidikan yg bagus juga mahal pol jadi mending tahan dulu aza,tidak percaya pasangan
vendor gedung sm catering mahal banget anjir pengalaman di minggu ini ada temen kantor yg cerita mau nikah september tahun depan tp harus book vendor paling murah sekarang krn takut kehabisan tanggal,tekanan sosial
akutuh tadi mau ngomong ngajak pacarku beli cincin aja sekarang soalnya tahun depan kan ppn naik takut harga emas makin mahal tp takut mau ngomong nya aaahhhhh kesal banget mau nikah aja susah banget negara bajingan,tekanan sosial
kuliah dikata mahal lulus gak cepet dapat kerja mau nyari koneksi ke senior harus ke kota takut dikata boros di rumah doang dikata gak usaha anak tetangga yg mesti dibandingin udah pada nikah bahasanya laku sampe tahun lalu sebelum tetangga meninggal selalu diomongin,alasan ekonomi
sumpah demi apapun di umur segini aku lebih takut ga punya perkembangan karir gaji perkembangan pendidikan tbtb kena layoff ga ada penghasilan ga ada tabungan apa mahal ga bisa beli tanah beli rumah bahagiain mama ilmu agama kurang daripada takut ga nikah,tekanan sosial
aku malah takut nikah dibanding ga nikah malah ada yg lebih krusial saat ini yaitu takut ga ada uang karena segala kebutuhan mahal,tekanan sosial
lebih takut di kehidupan setelah nikah dan mati ditambah biaya hidup sekarang makin gede dan mahal,tidak percaya pasangan
waktu temen deket nikah tu agak sedih tapi seneng juga takut ditinggal aja mahal lebih sering ketemu apalagi pas udah punya anak dari setahun sekali jadi bulan sekeli mana jadi perumahan,tekanan sosial
walaupun ibunya ngerasa ga masalah wajar klo anaknya takut berarti anaknya ga siap kayak ibunya dan ya org yg relate jg mereka lah yg tau ibu mrk gimana jelas ada jg kok yg ga relate dan bilang ibunya nikah tp masih bisa satu lemari isi tas mahal,takut gagal membangun keluarga
pernikahan gak segampang itu belom lagi kalo punya anak harga susu formula dan popok aja mahal angka kekerasan dalam rumah tangga banyak angka penelantaran anak angka perceraian siapa yang gak takut nikah kalo semuanya ancur begini pkb pantek kontol bajingan,tekanan sosial
padahal issue tingkat pernikahan yang menurun lebih ke efek domino perekonomian yang melemah kek orang takut nikah karena dari biaya nikah aja udah mahal terus dihantui sama kewajiban menafkahi keluarga hingga menyiapkan uang untuk pendidikan anakanak mereka,alasan ekonomi
lagian kalau mau have sex sebelum nikah itu terserah ya tapi pastikan bersih dan rutin cek biar gak ngerugiin siapapun kalau gak punya duit gausah gegaya mau ngewe sama pacar cari duit dulu bnyak biar bisa ngewe tanpa takut mikir ceknya mahal pegi cek sonoh malah nanya org,tekanan sosial
ya iya lah laki yang liat ciwi bisa beliin ortu barang mahal terus malahan takut ngerendahin bukannya terpacu itu sdm rendahan ntar kamu kalo sampe nikah sama dia dicabut sayap kamu dirantai kaki kamu udah cepet putusin laki bahaya kek gini kak,takut gagal membangun keluarga
ngga sih tapi takut hamil tapi w harus punya anak kasian lah laki w nanti udh nikah biaya mahal tapi gada keturunan,tekanan sosial
twt ini akhirnya dihapus setelah menimbulkan banyak perdebatan soalny dr awal aneh aja cewe takut nikah karena banyak cowo berengsek solusi jangan takut itu kayak orang gamau punya anak karena biaya hidup mahal tp solusi pemerintah cuma jangan takut,tidak percaya pasangan
gini deh penduduk segini aja belom bisa ngurus negara tuh yg ada dulu yg ada gausah ikutan kek negara lain yg takut org banyak yg pengen childfree sama ga mau nikah mereka seengganya mensejahterakan rakyatnya lah indo gaji aja masih rendah sandang pangan makin mahal,takut gagal membangun keluarga
banyak temen yg nikah sbrnya ga siap tapi cuma karena pengen aja dan krn sdh lama pacaran atau krn takut dikejar usia pas nikah bingung krn hamil bingung kok nikah mahal kebutuhannya kesepian yg jdi korban temen yg jomblo krn dicurhatin mulu,tidak percaya pasangan
ini bukan semata salah pihak cowok atau cewek kok gaes bayangin aja sekarang harga rumah mahal biaya sekolah gak ngotak tuntutan sosial makin tinggi pemerintahnya gak peduli ama kelas menengah gak heran makin banyak orang yg takut nikah,tekanan sosial
harga kebutuhan serba mahal kebanyakan cinta itu manis di awal aja yg dihargai cuma good looking lu modal kerja keras jg prcuma gbakal di hargai prjuangan lu kek gw dlu kerja sampe tipes nabung buat nikah eh gw nya djkecewain jadi takut gw jalin hubungan lg isinya bulshit smua,alasan ekonomi
bisa tp mahal teknologinya canggih sam bud gk bisa diakses semua orang paling gampang lewat pernikahan jelas bapak ibunya bbrp daerah melarang nikah sama tetangga takut klo ternyata hasil linggo,tekanan sosial
tergantung gaya hidup org sih tp jujur gue yg sebulan gajinya jt tuh mau nikah takut dan mikir at least calon suami gw gajinya jg sama kyk gw biar kalo digabung tuh jt mahal bgt cok apa di jkt,tekanan sosial
sma swasta karena takut biayanya mahal mengingat swasta sedangkan rata rata penduduknya hidup dalam kemiskinan alhasil apa mereka kerja klo mau ya kejar paket c dan nikah mudah populasi banyaknya nikah muda ini mengakibatkan bayi lahir prematur dan kurang nutrisi akibat,alasan ekonomi
ini bukan semata salah pihak cowok atau cewek kok gaes bayangin aja sekarang harga rumah mahal biaya sekolah gak ngotak tuntutan sosial makin tinggi pemerintahnya gak peduli ama kelas menengah gak heran makin banyak orang yg takut nikah,tekanan sosial
harga kebutuhan serba mahal kebanyakan cinta itu manis di awal aja yg dihargai cuma good looking lu modal kerja keras jg prcuma gbakal di hargai prjuangan lu kek gw dlu kerja sampe tipes nabung buat nikah eh gw nya djkecewain jadi takut gw jalin hubungan lg isinya bulshit smua,alasan ekonomi
nikah sama dia tp di sisi lain aku jg takut kalo nikah sm dia soalnya anaknya tuh ga merayakan aku aku dari kecil biasa dirayain sm ortuku apapun itu sedangkan dia di ultahku aja gaada pikiran buat rayain padahal kan ga harus mahal di sini kecewa banget,tidak percaya pasangan
