text,cleaned
"Pantes dulu gak di suka sama Pak Harto, ternyata seperti ini sifat aslinya",pantas dulu tidak di suka sama pak harto ternyata seperti ini sifat aslinya
"Tom Lembong mendapatkan abolisi itu wajar, karena beliau memang tidak terbukti korupsi atau bersalah, harusnya Mulyono yg harus diadili, dan itu semua rekayasa si Mulyono.",tom lembong mendapatkan abolisi itu wajar karena beliau memang tidak terbukti korupsi atau bersalah harusnya mulyono yang harus diadili dan itu semua rekayasa sil mulyono
"Jika Pak Presiden bisa memberikan ""abolisi"", Presiden juga bisa memberikan ""pemberatan"" buat koruptor yang hukumannya ringan-ringan",jika pak presiden bisa memberikan abolisi presiden juga bisa memberikan pemberatan buat koruptor yang hukumanya ringan ringan
Ini presiden paling buruk sepanjang sejarah konoha..jendral pecundang..!!,ini presiden paling buruk sepanjang sejarah konoha jenderal pecundang
"Saya cinta negara ini 
Tidak untuk pemerintah nya !!!",saya cinta negara ini tidak untuk pemerintah nya
Gak demo ta iki 98 jilid 2? opo sek sabar sampean2 sedoyo.....,tidak demo aku ini jilid apa sek sabar sampean sedoyo
"Ya Alloh, garang di suara, lemah di praktek.
Joget aja biyar makin rusak ini hukum wo.
Sgt kecewa sebagai pendukung.",iya allah garang di suara lemah di praktik joget saja biar makin rusak ini hukum oi sangat kecewa sebagai pendukung
Wis Koruptor Bebasno Kabeh ae Woooo...Ben Buyar Negoro Iki Gara Gara Kowe Presiden ne...Rugi sy Memilih mu Cuk,sudah koruptor bebasno semua saja oi ben buyar negoro ini gara gara kamu presiden ini rugi saya memilih mu cuk
"Kebijakan pemerintah selama ini yg paling baik dan benar cuma subsidi listrik 2bulan....

Selebihnya sak enak.e dewe....",kebijakan pemerintah selama ini yang paling baik dan benar cuma subsidi listrik bulan selebihnya sak enak e sendiri
"Ckp di lht sj
Hny warga biasa",cakap di lihat saja apa warga biasa
Pak amnesti untuk orang miskin kapan,pak amnesti untuk orang miskin kapan
Tak kiro wong iki koyok pak harto sing neges ngunu tibake hello kitty,tidak kira orang ini koyok pak harto sing neges anu tibake halo kity
"Hidup korupsi,mari kita korupsi ramai2.percuma selogan hukum mati koruptor apalagi perampasan aset itu cuma listing aja,jelas maling uang rakyat kok dibebaskan maling ayam dihukum,AQ kecewa mendukungmu walau alasan untuk mendinginkan politik,lihat nantik pasti diulangi lagi koruptor tertangkap partai bikin gadau dpt amesti, asu...asu",hidup korupsi mari kita korupsi ramai percuma slogan hukum mati koruptor apalagi perampasan aset itu cuma listing saja jelas maling uang rakyat kok dibebaskan maling ayam dihukum saya kecewa mendukungmu walau alasan untuk mendinginkan politik lihat nanti pasti diulangi lagi koruptor tertangkap partai bikin gadau dapat amesti anjing anjing
"Aq mantau dari bawah,, semakin seru dan lemahnya hukum di R1,,kalau kasus ini di beberkan angota komisi dpr dan mentri ketar ketir",saya mantau dari bawah semakin seru dan lemahnya hukum di r kalau kasus ini di beberkan angota komisi dewan perwakilan rakyat dan menteri ketar ketir
Pahlawan keluar jadi penjilat keluar pengecut keluar pro-rakyat keluar perampok  dan seterusnya. Presiden gak punya jati diri ya macam ni,pahlawan keluar jadi penjilat keluar pengecut keluar profesional rakyat keluar perampok dan seterusnya presiden tidak punya jati diri iya macam ini
Sak karepmu moy 🤣,sak terserah kamu moy
Kalau UUD aset negara..gk disah2kan...sak karepmu PAK DE...,kalau sudah aset negara tidak disahkan sak terserah kamu pak adik
Biar Tom dan Hasto berhutang jasa kepada Hero Wowo,biar tom dan hasto berhutang jasa kepada hero prabowo
"Takut kebongkar semuanya, sehingga presiden semudah itu memberi Abolisi... Ada udang d balik rempeyek.... Ayo Mangaaan, eh Ayo Bongkar, Bongkar Ya Bongkarrr...🫢🫢🫢🫢",takut terbongkar semuanya sehinga presiden semudah itu memberi abolisi ada udang di balik rempeyek ayo mangan eh ayo bongkar bongkar iya bongkar
Wowo ngunu yo lapo disek kok di cekel Lembong mbek hasto eroh ngunu umbaren ae... 🤦‍♂️,prabowo anu iya lapo disek kok di cekel lembong mbek hasto eroh anu umbaren saja
"Sembarang wes aturen. Nek ga isok di atur yo di awur,,!!",sembarang sudah aturen nek tidak isok di atur iya di awur
"Karepmu lah
Sknario ne wes sesuai prediksine pemirsa🤣🤣",terserah kamu lah sknario ini sudah sesuai prediksine pemirsa
Keseringen ketemu emak dadine tambah mbeleset se Pak,keseringen ketemu emak jadi tambah mbeleset se pak
Ya udah jls stuju DPR emang komplotannya koruptor,iya sudah jelas setuju dewan perwakilan rakyat memang komplotanya koruptor
Wes pak gak usah onok sidang2 nek ujunge bebas,sudah pak tidak perlu onok sidang nek ujunge bebas
Sesok gendero one piece rodok payu,sesok genderuwo satu piece rodok payu
Woo dagelan model opo iki bose...tapi dia ada kebijak sebdiri yo mongo cmn gmn yo...lucu,oi dagelan model apa ini bose tapi dia ada kebijak sebdiri iya mongo cuma bagaimana iya lucu
"Jadi pahlawan kepadangan,.
Gak lucu..!!",jadi pahlawan kepadangan tidak lucu
"Ada kah bangkai tiada bau,O boss's....",ada kah bangkai tiada bau o bos si
"Atas usulan DPR bukan permohonan masing2. DPR memporak porandakan sistem Yudisial. Kekuasaan Kehakiman & MA di pecundangi, mereka masih belum menentukan jawaban atas pembacaan putusan (msih dlm tenggang wakru)",atas usulan dewan perwakilan rakyat bukan permohonan masing dewan perwakilan rakyat memporak porandakan sistem yudisial kekuasan kehakiman sama di pecundangi mereka masih belum menentukan jawaban atas pembacan putusan masih dalam tenggang wakru
Aku ndelok tok .....🙄,aku lihat tok
ealah,iyalah
Respect bwt pa Prabowo . Negarawan 🇮🇩,respect buat pak prabowo negarawan
"Wes ajur...ajur Jum 🤦‍♂️😅
Mumpung nanti Shalat Jumat, mari kita semua DOA kan dan minta yg sungguh2 kepada ALLAH SWT semoga para Pemimpin dan Pejabat di Negeri Indonesia diberikan Hidayah supaya Istiqomah dijalan yg Benar dan agar perbuatan mereka semua dibayar Lunas Kontan di Dunia ini oleh ALLAH SWT... Aamiin ya Rabb🤲",sudah ajur ajur jum selagi nanti salat jumat mari kita semua doa kan dan meminta yang sungguh kepada alah subhanahu wa taala semoga para pemimpin dan pejabat di negeri indonesia diberikan hidayah supaya istikamah di jalan yang benar dan agar perbuatan mereka semua dibayar lunas kontan di dunia ini oleh alah subhanahu wa taala amin iya rab
hoak terus asu,hoaks terus anjing
wes ajur...tambah gak karuan presidene,sudah ajur tambah tidak karuan presidene
Nek terus2an Ngeneki.. Sok enek wong d jejeli gombal mekan neng kuburan tenan... Mergo teko omongane dewe...,nek terusan ngeneki sok enek orang di jejeli suka merayu mekan neng kuburan benaran mergo teko omongane sendiri
"Pengadilan  tuhan itu yg betul...
Pasti dekat2 juga tuhan adili kok..
Doa rakyat yg terdzolimi 1000000% terkabul cepat",pengadilan tuhan itu yang betul pasti dekat juga tuhan adili kok doa rakyat yang terzalimi terkabul cepat
Taekkkkkkkkkkkkkk,tai
Biar KPK tidak malu .,biar komisi pemberantasan korupsi tidak malu
"Resiko sekali, keputusan yg menghukum orang yg berpihak pada Kapitalis. Dikira Penguasa sekarang dan kroninya bukan mayoritas orang Kapitalis?.",risiko sekali keputusan yang menghukum orang yang berpihak pada kapitalis dikira penguasa sekarang dan kroninya bukan mayoritas orang kapitalis
ada super hero gues.. 🤌🤣🤣🤣 mirip cara mainnya mukidi.,ada super hero gues mirip cara mainnya mukidi
Ckckckckckckkckckckckckckckckckkckckckckckc,ckckckckckckckckckckckckckckckckckckckckc
"Dagelan . Tom Lembong di Suport Anis.( memang korban politik) & 
Hasto bebas Jelas PDIP masih punya power.",dagelan tom lembong di suport anis memang korban politik hasto bebas jelas partai demokrasi indonesia perjuangan masih punya power
adili yg memerintahkan,adili yang memerintahkan
"Kene iki dungo supoyo hasto mencret ben isok dihukum seumur hidup opo mati kok malah ndagel, piye seh rasane sego gorenge mak e iku?!?!?",sini ini dungo supoyo hasto mencret ben isok dihukum seumur hidup apa mati kok bahkan dagel bagaimana sih rasanya sego gorenge ibu e ikut
"Gercep nya buat kita sebagai rakyat mestinya, terutama perekonomian rakyat.",gerak cepat nya buat kita sebagai rakyat mestinya terutama perekonomian rakyat
Tutup sebelum semua Bernyanyi.,tutup sebelum semua bernyanyi
Drakor politikus berdasi...,drama korea politikus berdasi
maling ayam dpt amnestingak y,maling ayam dapat amnestingak ya
"Hahaha, dagelan fakkk 🙃🙃🙃",haha dagelan anjing
"satu kata RUWEEEEET
😁😂🤣",satu kata ruwet
"Kyaknya penyampaian berita sengaja di bikin rumit
Tpi intinya pembebasan napi gtu ae...",sepertinya penyampaian berita sengaja di bikin rumit tapi intinya pembebasan narapidana begitu saja
"Cieee.. 
Mau jd pahlawan dia, tp kesorean.. 
@ndasmuuu!!!!",wah mau jadi pahlawan dia tapi kesorean
sesama koruptor harus saling melindungi🤣🤣🤣,sesama koruptor harus saling melindungi
Wes bebasno AE kesuwen,sudah bebasno saja kesuwen
Akhir sebuah cerita begitu ributnya kasus buat nutupi para koruptor,akhir sebuah cerita begitu ributnya kasus buat nutupi para koruptor
ini baru bener....presiden harus menampakkan kuasanya...ini kasus kan pesenan yg lalu...si ijazah palsu 😎,ini baru benar presiden harus menampakkan kuasanya ini kasus kan pesanan yang lalu sil ijazah palsu
Selamat menikmati pilihan anda.,selamat menikmati pilihan anda
Giliran perampasan aset dpr bnykan alesan,giliran perampasan aset dewan perwakilan rakyat bnykan alasan
"Enak le ngene.
Ayo rame2 korupsi.
Cedak presiden aman.
Cedak ketum aman.
Wes panen

Dadi opo Negoro Iki.
Wes embuh.
Karepmu .",enak le ini ayo ramai korupsi dekat presiden aman dekat ketua umum aman sudah panen dadi apa negoro ini sudah embuh terserah kamu
"Taek...
Hasto lapo diwei amnesti",tai hasto lapo diwei amnesti
"Amnesti utk silfester jg pak, dah divonis 1,5thn tp blm msk penjara.
Kasihan dia bela2in bapaknya gibran.",amnesti untuk silfester juga pak sudah divonis tahun tapi belum masuk penjara kasih dia membela bapaknya gibran
"bersrti hakim dan jaksa d kasus itu error, ayo seret dalang d balik itu hha",bersrti hakim dan jaksa di kasus itu error ayo seret dalang di balik itu tertawa
"Makin lama negeri ini makin aneh.. wajar rakyatnya terbungkam dgn skenario pemimpin2 negeri ini..
Merdeka dijajah Negeri sendiri",makin lama negeri ini makin aneh wajar rakyatnya terbungkam dengan skenario pemimpin negeri ini merdeka dijajah negeri sendiri
"AYO PARA MAHASISWA SELURUH INDONESIA, KITA BUBARKAN DPR DAN MPR YANG TIDAK ADA MANFAATNYA . CUMA BUAT ANGGARAN TAMBAH BESAR DAN BANYAK KORUPTORNYA. KITA SERANG GEDUNG ITU DITGL 17.
UNDANGAN RESMI BUAT SELURUH MAHASISWA YANG KATANY PUNYA JIWA NASIONALIS😎😎",ayo para mahasiswa seluruh indonesia kita bubarkan dewan perwakilan rakyat dan majelis permusyawaratan rakyat yang tidak ada manfatnya cuma buat angaran tambah besar dan banyak koruptornya kita serang gedung itu ditgl undangan resmi buat seluruh mahasiswa yang kata punya jiwa nasionalis
KLU INI BENER HEBAT KLU CUMAN OMON YA PAYAH,kalau ini benar hebat kalau cuma omon iya payah
bener bener negeri wano,benar benar negeri wano
"Sak senengmu wes
Getun milih",sak senengmu sudah getun memilih
Semain main inikah??,semain main inikah
"Kalo macam ini makmurlah para koruptor, lebih parah dari presiden sebelumnya...",kalau macam ini makmurlah para koruptor lebih parah dari presiden sebelumnya
"Ga setuju, lebih setuju prabowo jg diadili atas food estate-nya. Biar fufufafa yg jadi presiden",tidak setuju lebih setuju prabowo juga diadili atas fod estate nya biar fufufafa yang jadi presiden
Ngapain di sidangkan klu ujung2nya seperti itu,sedang apa di sidangkan kalau ujungnya seperti itu
Ealaah cemen cemen 😂👎👎,iyalah penakut penakut
Koplo🤣🏴‍☠️,koplo
ta kiro gagah kyk Mbah Suharto ternyata...,aku kira gagah seperti mbah soeharto ternyata
"Negoro taek iki.... 
Bener2 gak bener semua jajarannya...
Wes tambah kacau aturan 2 pemerintah iki",negoro tai ini benar tidak benar semua jajaranya sudah tambah kacau aturan pemerintah ini
Aku bangga di bilang Kadal gurun...,aku bangsa di bilang kadal gurun
jendral taek gede omonge tok,jenderal tai gede omonge tok
Suara kayak radio tapi ternyata sinetron,suara kayak radio tapi ternyata sinema elektronik
satu kata RUWET,satu kata ruwet
Mari badut2 beraksi diatas hukum..Indonesia GELAPPPP,mari badut beraksi di atas hukum indonesia gelap
Abolisi biar ga rembes kemana2 kan? Ibarat memutus pipa kapiler agar kasusnya tidak merembet ke atas.,abolisi biar tidak rembes kemana kan ibarat memutus pipa kapiler agar kasusnya tidak merembet ke atas
Akhir dr sebuah sinetron..,akhir dari sebuah sinema elektronik
"prabowo disetir megawati wahh pasti dia diancam bakal dilengserkan kalau nekat jebloskan hasto, soalnya yang melengserkan gus dur dengan licik adalah megawati dan amin rais dua bajingan itu saya benci. herannya kok awet hidupnya gak mati""",prabowo disetir megawati wah pasti dia diancam bakal dilengserkan kalau nekat jebloskan hasto soalnya yang melengserkan gus dur dengan licik adalah megawati dan amin rais dua bajingan itu saya benci heranya kok awet hidupnya tidak mati
Kartu AS para petinggi RI ada di mereka berdua,kartu as para petingi mencari ada di mereka berdua
"Ngapain harus repot repot jarwooo, tinggal perintahkan saja pada kejaksaan untuk berlaku jujur  sejujur jurnya adil seadil adilnya ,kalau memang tidak ada tindak pidana dgn sendirinya akan terbebas, bukan begitu jarwoo, jika mereka sebagai wakil tuhan tidak mau,  membandel ,tidak mau berlaku adil, dan jujur,maka silahkan lo yg turun tangan bos",sedang apa harus repot repot jarwo tinggal perintahkan saja pada kejaksan untuk berlaku jujur sejujurnya jurnya adil seadil adilnya kalau memang tidak ada tindak pidana dengan sendirinya akan terbebas bukan begitu jarwo jika mereka sebagai wakil tuhan tidak mau membandel tidak mau berlaku adil dan jujur maka silakan kamu yang turun tangan bos
Cair cair,cair cair
Negeri dagelan,negeri dagelan
Pahlawan Nasional 😊,pahlawan nasional
Ga bisa berkata2.... Karena cuman rakyat jelata...,tidak bisa berkata karena cuma rakyat jelata
"Pesenan  🗿
Alhasil ijasah palsu tetap aman",pesanan alhasil ijazah palsu tetap aman
"Ya jelas disetujui oleh DPR mereka kan spesies sejenis, fix DPR sarangnya",iya jelas disetujui oleh dewan perwakilan rakyat mereka kan spesies sejenis memperbaiki dewan perwakilan rakyat sarangnya
"Ngombe iki sik mak de,ben lbh lancar mikire",ngombe ini sil ibu adik ben lebih lancar mikire
"Gek Negoro opo to ki2,hukum buat mainan",gek negoro apa to ki hukum buat mainan
Ini sih demi raja jawa,ini sih demi raja jawa
Komedi ta cruta nyata ini?,komedi aku cruta nyata ini
"Kalau Tom Lembong okelah karena tidak terbukti korupsi
Tapi yang satunya aasudahlah rakyat jelata bisa apa",kalau tom lembong okelah karena tidak terbukti korupsi tapi yang satunya sudah rakyat jelata bisa apa
Ko jadi sperti ini jendral.....politikmu sperti anak kecil 😂,kok jadi seperti ini jenderal politikmu seperti anak kecil
"Beda kampanye ,beda realita..
Katanya sikat koruptor,koq malah kasih kesempatan kedua koruptor",beda kampanye beda realita katanya sikat koruptor kok bahkan kasih kesempatan kedua koruptor
"Apa apa an ini ,  KANOHA OH KANOHA NEGRIKU TERCINTA...",apa apa an ini kohona oh kohona negeriku tercinta
"Hukum dinegara ini sprti diprmainkan, rakyat  mrsa dibodoh2i, dibuat skenario seakan2 tmpak baik didpan,nmun sbliknya mncari keuntungan bgi dirinya & kelompokny.",hukum di negara ini seperti diprmainkan rakyat mrsa dibodohi dibuat skenario seakan tmpak baik didpan namun sbliknya mencari keuntungan bagi dirinya kelompokny
Negeri nya para dagelan 😁😁,negeri nya para dagelan
Tambah ngene se pak,tambah ini se pak
"Yang saya heran sampai saat ini rakyat tenang hidup masih enak mahasiswa masih enak nongkrong ngopi di cafe.. meskipun kebijakan pemerintah memberatkan rakyat kecil LPG subsidi per tabung 20.000 bensin yg katanya subsidi 10.000 kalah harga lebih murah Malaysia..
Cita cita UUD mensejahterakan rakyat nyatanya menindas seluruh rakyat Indonesia dg pajak di segala lini.",yang saya heran sampai sat ini rakyat tenang hidup masih enak mahasiswa masih enak nongkrong minum kopi di cafe meskipun kebijakan pemerintah memberatkan rakyat kecil lpg subsidi per tabung bensin yang katanya subsidi kalah harga lebih murah malaysia cita cita sudah mensejahterakan rakyat nyatanya menindas seluruh rakyat indonesia dengan pajak di segala lini
"Gk yg dulu gk yg sekarang, caper mulu",tidak yang dulu tidak yang sekarang cari perhatian melulu
"Di pilih biar jadi presiden teryata bela kriminal,kalah tekanan sama oposisi teryata sama saja hukum buat mainan...",di pilih biar jadi presiden teryata bela kriminal kalah tekanan sama oposisi teryata sama saja hukum buat mainan
Maleng petek iso sampek dase bejot kabeh ..dan tetep di penjara.....gak ono amnesti...semakin👎,maleng petek bisa sampai dase bejot semua dan tetap di penjara tidak ono amnesti semakin
Bebass wes loss doll,bebas sudah los dol
"Kapan ngunu hari korupsi Indonesia,",kapan anu hari korupsi indonesia
"Sudah tau kan kata almarhum Gus Dur.
Anak anak TK jadi wakil rakyat.
🤣🤣😜
Sampek kapanpun
Ya jangan pernah berharap
Sama pemikiran anak tk",sudah tahu kan kata almarhum gus dur anak anak tk jadi wakil rakyat sampai kapanpun iya jangan pernah berharap sama pemikiran anak tk
Untung aq g pernah milih,untung saya tidak pernah memilih
"Modele ae koyok teges""o tibak e podo kbh...ngeri ndelok negoro iki",modele saja koyok teges o tibak e podo kbh ngeri lihat negoro ini
Pisan ae pak wo....GK milih pean mnh AQ.....ajur tatanan...omon omon kosong doang😇,sangat saja pak oi tidak memilih pean memanah saya ajur tatanan omon omon kosong doang
Sekalian aja pak  sama harun masiku dam koruptor koruptor yang lari ke luar negeri 😄,sekalian saja pak sama harun masiku dam koruptor koruptor yang lari ke luar negeri
Wong ruwet kabeh...sk karep wess,orang ruwet semua surat keputusan karep sudah
"Wkwkwkwk kocak, kwatir Mendag sebelum nya di tuntut balik, 
MENYALA MULYONO Sutradara Negeri KONOHA. 
Kita tunggu KISAH selanjutnya cerita si HASTO,",tertawa kocak kawatir menteri perdagangan sebelum nya di tuntut balik menyala mulyono sutradara negeri konoha kita tunggu kisah selanjutnya cerita sil hasto
Lahh,lah
Wuuuuiihh seolah presiden berjasa 🤣🤣🤣,wah seolah presiden berjasa
"Ceritanya jadi pahlawan tp kesiangan, orang gak salah dan gak terbukti harusnya bebas",ceritanya jadi pahlawan tapi kesiangan orang tidak salah dan tidak terbukti harusnya bebas
"Sekalian bu Kopipah kasih ""Abolisi Limited Edition"", pokok e aturen bebas & kebal gak usah di adili👍",sekalian bu kopipah kasih abolisi limited edition pokok e aturen bebas kebal tidak perlu di adili
indonesia darurat korupsi ..berlakukan sumpah pocong😂,indonesia darurat korupsi berlakukan sumpah pocong
Kukira kau NKRI pak ..taunya omon2,aku kira kamu negara kesatuan republik indonesia pak taunya omon
Tom..sgt pantas..aparat hukum n hakim karna pesanan..hasto jg pantas karna ditarget pak mul..,tom sangat pantas aparat hukum dan hakim karena pesanan hasto juga pantas karena ditarget pak mul
"Demi politik Langkah awal presiden menyelamatkan
 orang - orang dilingkaran istana hahaa.. 
Presiden sadar tom dan hasto bukan orang sembarangan",demi politik langkah awal presiden menyelamatkan orang orang dilingkaran istana tertawa presiden sadar tom dan hasto bukan orang sembarangan
"GIMANA ITU, KALO TOM LEMBONG MENERIMA ABOLISI BERARTI SECARA FORMAL TEKSTUAL MENGAKUI MELAKUKAN TINDAK PIDANA, TAPI SECARA HUKUM TIDAK TERBUKTI,  ,   , HARUSNYA DIBEBASKAN KRN EMANG TDK TERBUKTI BERSALAH BKN KRN ABOLISI!!!! TEMBAK AZA ITU KEPALANYA HAKIMNYA!!!!",bagaimana itu kalau tom lembong menerima abolisi berarti secara formal tekstual mengakui melakukan tindak pidana tapi secara hukum tidak terbukti harusnya dibebaskan karena memang tidak terbukti bersalah bukan karena abolisi tembak saja itu kepalanya hakimnya
Aturen wes manut opo jare,aturen sudah manut apa jare
Enak ya jadi koruptor.. Dpr. Langsung setujuh . Koruptor di bebaskan. . Ladusing mintak tambahan anggaran dpr langsung setujuh. 10 thn uu korupsi sampai skrng blm di syahkan  anak banteng. Dan wajar dia langsung setujuh krn si aasto kan anak buah nya banteng,enak iya jadi koruptor dewan perwakilan rakyat langsung setujuh koruptor di bebaskan ladusing mintak tambahan angaran dewan perwakilan rakyat langsung setujuh tahun kamu korupsi sampai sekarang belum di syahkan anak banteng dan wajar dia langsung setujuh karena sil asto kan anak buah nya banteng
"COK DANCOK LEK KARO WONG PODO DUE JABATANE.  DUEKE AKEH. HUKUM WES GAK ISO BERBUAT OPO OPO.  HUKUM DI GAE PERMAINAN. GAE SAK KEREPE DEWEK COK DANCOK NEGORO MODEL OPO IKI. TAMBAH SUE NEGORO GAK TAMBAH APIK TAMBAH GAK KARU KARUAN. TAMBAH RUSAK.  ATURAN YENGSORONO UWONG CILIK. TAPI NGENAKNO UWONG PEMERINTAH.  UWONG SENG DUE JABATAN...
GETON AKU MELEH PRABOWO.  OMONGE TOK SENG GEDABRUUS TAPI GAK COCOK AMBEK KENYATAANE...

DANCOK..

NEGORO ISO HANCUR. ISO RUSAK. ISO KENEK AZAB.  MERGO TOTOK PERBUATENE PEJABAT PEJABAT PEMERINTAH IKU DEWEK ...

CAM KAN KATA KATA KU IKI..",anjing jancuk lek sama orang podo due jabatane dueke banyak hukum sudah tidak bisa berbuat apa apa hukum di gae permainan gae sak kerepe sendiri anjing jancuk negoro model apa ini tambah dasar negoro tidak tambah apik tambah tidak karu karuan tambah rusak aturan yengsorono orang cilik tapi ngenakno orang pemerintah orang seng due jabatan geton aku meleh prabowo omonge tok seng gedabrus tapi tidak cocok ambek kenyatane jancuk negoro bisa hancur bisa rusak bisa kenek azab mergo totok perbuatene pejabat pejabat pemerintah ikut sendiri cam kan kata kata ku ini
Ngnu kok bengok2  hkum koruptooorrr. Taekkk,ngnu kok bengok hukum koruptor tai
"Pak Tom tidak melakukan tindak pidana apa pun, jadi abolisi pun tidak pas. 
Yang benar dan adil dibebaskan karena tidak bersalah. 
Ada yg lagi cari perhatian rakyat. Jangan terkecoh.",pak tom tidak melakukan tindak pidana apa pun jadi abolisi pun tidak pas yang benar dan adil dibebaskan karena tidak bersalah ada yang lagi cari perhatian rakyat jangan terkecoh
"Astaghfirullah al'azdhiiim nontok berita akhir2 Iki kok ndasku mumet ,,onok harapan opo ora Yoo pemerintah saiki kebijakan e tumpul ke atas apa kebawah ,tajam kebawah apa ke atas 🥹",astaghfirulah al azdhim nontok berita akhir ini kok ndasku pusing onok harapan apa tidak iya pemerintah sekarang kebijakan e tumpul ke atas apa ke bawah tajam ke bawah apa ke atas
Negeri konoha,negeri konoha
"Bener jare Bambang pacul, kalah ambek oreya",benar jare bambang pacul kalah ambek oreya
Oposisi akan banyak sejak saat ini entah diam atau bergerak,oposisi akan banyak sejak sat ini entah diam atau bergerak
"Karep2mulah,",karepmulah
inilah kenapa para pejabat pada senang kalau Prabowo jadi presiden.. tau sendiri kan.. bener - bener menuju Indonesia gelap.,inilah kenapa para pejabat pada senang kalau prabowo jadi presiden tahu sendiri kan benar benar menuju indonesia gelap
Amburadul,amburadul
"Perang Dingin, Probawo Mulai Mainkan Pionnya Dalam Sebuah Catur, Bahwa Intervensi Mulyono lambat Laun sudah Dibaca",perang dingin probawo mulai mainkan pionya dalam sebuah catur bahwa intervensi mulyono lambat laun sudah dibaca
"Owalah Pak pak.. kok enak diamnesti.. baru saja diputuskan hukuman skrang diamnesti,mau  dibawa kmana pak ..hukum Indonesia..rakyatmu akan semakin membencimu dengan tindakanmu..kamu kalah dr tekanan saingan politikmu ,ngapain aja kerjamu..jadi apa hukum negara ini  pak..",walah pak pak kok enak diamnesti baru saja diputuskan hukuman sekarang diamnesti mau dibawa kemana pak hukum indonesia rakyatmu akan semakin membencimu dengan tindakanmu kamu kalah dari tekanan saingan politikmu sedang apa saja kerjamu jadi apa hukum negara ini pak
