text,cleaned
"Pantes dulu gak di suka sama Pak Harto, ternyata seperti ini sifat aslinya",suka pak harto nyata sifat asli
"Tom Lembong mendapatkan abolisi itu wajar, karena beliau memang tidak terbukti korupsi atau bersalah, harusnya Mulyono yg harus diadili, dan itu semua rekayasa si Mulyono.",tom lembong abolisi wajar beliau bukti korupsi salah mulyono adil rekayasa sil mulyono
"Jika Pak Presiden bisa memberikan ""abolisi"", Presiden juga bisa memberikan ""pemberatan"" buat koruptor yang hukumannya ringan-ringan",pak presiden beri abolisi presiden beri berat koruptor hukumanya ringan ringan
Ini presiden paling buruk sepanjang sejarah konoha..jendral pecundang..!!,presiden buruk panjang sejarah konoha jenderal cundang
"Saya cinta negara ini 
Tidak untuk pemerintah nya !!!",cinta negara perintah
Gak demo ta iki 98 jilid 2? opo sek sabar sampean2 sedoyo.....,demo jilid sek sabar sampean doyo
"Ya Alloh, garang di suara, lemah di praktek.
Joget aja biyar makin rusak ini hukum wo.
Sgt kecewa sebagai pendukung.",iya allah garang suara lemah praktik joget biar rusak hukum oi kecewa dukung
Wis Koruptor Bebasno Kabeh ae Woooo...Ben Buyar Negoro Iki Gara Gara Kowe Presiden ne...Rugi sy Memilih mu Cuk,koruptor bebasno oi ben buyar negoro gara gara presiden rugi pilih mu cuk
"Kebijakan pemerintah selama ini yg paling baik dan benar cuma subsidi listrik 2bulan....

Selebihnya sak enak.e dewe....",bijak perintah baik benar subsidi listrik bulan sak enak e
"Ckp di lht sj
Hny warga biasa",cakap lihat warga
Pak amnesti untuk orang miskin kapan,pak amnesti orang miskin
Tak kiro wong iki koyok pak harto sing neges ngunu tibake hello kitty,kira orang koyok pak harto sing neges tibake halo kity
"Hidup korupsi,mari kita korupsi ramai2.percuma selogan hukum mati koruptor apalagi perampasan aset itu cuma listing aja,jelas maling uang rakyat kok dibebaskan maling ayam dihukum,AQ kecewa mendukungmu walau alasan untuk mendinginkan politik,lihat nantik pasti diulangi lagi koruptor tertangkap partai bikin gadau dpt amesti, asu...asu",hidup korupsi korupsi ramai slogan hukum mati koruptor ampas aset listing jelas maling uang rakyat bebas maling ayam hukum kecewa dukung alas dingin politik lihat ulang koruptor tangkap partai bikin gadau amesti anjing anjing
"Aq mantau dari bawah,, semakin seru dan lemahnya hukum di R1,,kalau kasus ini di beberkan angota komisi dpr dan mentri ketar ketir",mantau bawah seru lemah hukum r kasus angota komisi dewan wakil rakyat menteri ketar tir
Pahlawan keluar jadi penjilat keluar pengecut keluar pro-rakyat keluar perampok  dan seterusnya. Presiden gak punya jati diri ya macam ni,pahlawan keluar jadi jilat keluar kecut keluar profesional rakyat keluar rampok terus presiden punya jati iya
Sak karepmu moy 🤣,sak serah moy
Kalau UUD aset negara..gk disah2kan...sak karepmu PAK DE...,aset negara sah sak serah pak adik
Biar Tom dan Hasto berhutang jasa kepada Hero Wowo,biar tom hasto hutang jasa hero prabowo
"Takut kebongkar semuanya, sehingga presiden semudah itu memberi Abolisi... Ada udang d balik rempeyek.... Ayo Mangaaan, eh Ayo Bongkar, Bongkar Ya Bongkarrr...🫢🫢🫢🫢",takut bongkar sehinga presiden mudah beri abolisi udang balik rempeyek ayo mangan eh ayo bongkar bongkar iya bongkar
Wowo ngunu yo lapo disek kok di cekel Lembong mbek hasto eroh ngunu umbaren ae... 🤦‍♂️,prabowo iya lapo sek cekel lembong mbek hasto eroh umbaren
"Sembarang wes aturen. Nek ga isok di atur yo di awur,,!!",sembarang aturen nek isok atur iya awur
"Karepmu lah
Sknario ne wes sesuai prediksine pemirsa🤣🤣",serah sknario sesuai prediksine pirsa
Keseringen ketemu emak dadine tambah mbeleset se Pak,keseringen ketemu emak jadi tambah mbeleset pak
Ya udah jls stuju DPR emang komplotannya koruptor,iya jelas tuju dewan wakil rakyat komplotanya koruptor
Wes pak gak usah onok sidang2 nek ujunge bebas,pak perlu onok sidang nek ujunge bebas
Sesok gendero one piece rodok payu,sok genderuwo satu piece rodok payu
Woo dagelan model opo iki bose...tapi dia ada kebijak sebdiri yo mongo cmn gmn yo...lucu,oi dagel model bose bijak sebdiri iya mongo iya lucu
"Jadi pahlawan kepadangan,.
Gak lucu..!!",jadi pahlawan padang lucu
"Ada kah bangkai tiada bau,O boss's....",bangkai tiada bau o bos si
"Atas usulan DPR bukan permohonan masing2. DPR memporak porandakan sistem Yudisial. Kekuasaan Kehakiman & MA di pecundangi, mereka masih belum menentukan jawaban atas pembacaan putusan (msih dlm tenggang wakru)",atas usul dewan wakil rakyat mohon dewan wakil rakyat memporak porandakan sistem yudisial kuas hakim cundang jawab atas pembacan putus tenggang wakru
Aku ndelok tok .....🙄,lihat tok
ealah,iya
Respect bwt pa Prabowo . Negarawan 🇮🇩,respect pak prabowo negarawan
"Wes ajur...ajur Jum 🤦‍♂️😅
Mumpung nanti Shalat Jumat, mari kita semua DOA kan dan minta yg sungguh2 kepada ALLAH SWT semoga para Pemimpin dan Pejabat di Negeri Indonesia diberikan Hidayah supaya Istiqomah dijalan yg Benar dan agar perbuatan mereka semua dibayar Lunas Kontan di Dunia ini oleh ALLAH SWT... Aamiin ya Rabb🤲",ajur ajur jum salat jumat doa minta sungguh alah subhanahu wa taala moga pimpin jabat negeri indonesia beri hidayah istikamah jalan benar bayar lunas kontan dunia alah subhanahu wa taala amin iya rab
hoak terus asu,hoaks terus anjing
wes ajur...tambah gak karuan presidene,ajur tambah karuan presidene
Nek terus2an Ngeneki.. Sok enek wong d jejeli gombal mekan neng kuburan tenan... Mergo teko omongane dewe...,nek terus ngeneki sok enek orang jejeli suka rayu mek neng kubur benar mergo teko omongane
"Pengadilan  tuhan itu yg betul...
Pasti dekat2 juga tuhan adili kok..
Doa rakyat yg terdzolimi 1000000% terkabul cepat",adil tuhan betul tuhan adil doa rakyat zalim kabul cepat
Taekkkkkkkkkkkkkk,tai
Biar KPK tidak malu .,biar komisi berantas korupsi malu
"Resiko sekali, keputusan yg menghukum orang yg berpihak pada Kapitalis. Dikira Penguasa sekarang dan kroninya bukan mayoritas orang Kapitalis?.",risiko putus hukum orang pihak kapitalis kira kuasa kroni mayoritas orang kapitalis
ada super hero gues.. 🤌🤣🤣🤣 mirip cara mainnya mukidi.,super hero gues mirip cara main mukidi
Ckckckckckckkckckckckckckckckckkckckckckckc,ckckckckckckckckckckckckckckckckckckckckc
"Dagelan . Tom Lembong di Suport Anis.( memang korban politik) & 
Hasto bebas Jelas PDIP masih punya power.",dagel tom lembong suport anis korban politik hasto bebas jelas partai demokrasi indonesia juang punya power
adili yg memerintahkan,adil perintah
"Kene iki dungo supoyo hasto mencret ben isok dihukum seumur hidup opo mati kok malah ndagel, piye seh rasane sego gorenge mak e iku?!?!?",dungo supoyo hasto mencret ben isok hukum umur hidup mati dagel sih rasa sego gorenge ibu e ikut
"Gercep nya buat kita sebagai rakyat mestinya, terutama perekonomian rakyat.",gerak cepat rakyat mesti utama ekonomi rakyat
Tutup sebelum semua Bernyanyi.,tutup nyanyi
Drakor politikus berdasi...,drama korea politikus das
maling ayam dpt amnestingak y,maling ayam amnestingak
"Hahaha, dagelan fakkk 🙃🙃🙃",haha dagel anjing
"satu kata RUWEEEEET
😁😂🤣",satu kata ruwet
"Kyaknya penyampaian berita sengaja di bikin rumit
Tpi intinya pembebasan napi gtu ae...",berita sengaja bikin rumit inti bebas narapidana
"Cieee.. 
Mau jd pahlawan dia, tp kesorean.. 
@ndasmuuu!!!!",jadi pahlawan sore
sesama koruptor harus saling melindungi🤣🤣🤣,koruptor lindung
Wes bebasno AE kesuwen,bebasno kesuwen
Akhir sebuah cerita begitu ributnya kasus buat nutupi para koruptor,akhir buah cerita ribut kasus nutupi koruptor
ini baru bener....presiden harus menampakkan kuasanya...ini kasus kan pesenan yg lalu...si ijazah palsu 😎,baru benar presiden tampak kuasa kasus pesan sil ijazah palsu
Selamat menikmati pilihan anda.,selamat nikmat pilih
Giliran perampasan aset dpr bnykan alesan,gilir ampas aset dewan wakil rakyat bnykan alas
"Enak le ngene.
Ayo rame2 korupsi.
Cedak presiden aman.
Cedak ketum aman.
Wes panen

Dadi opo Negoro Iki.
Wes embuh.
Karepmu .",enak le ayo ramai korupsi presiden aman ketua umum aman panen dadi negoro embuh serah
"Taek...
Hasto lapo diwei amnesti",tai hasto lapo diwei amnesti
"Amnesti utk silfester jg pak, dah divonis 1,5thn tp blm msk penjara.
Kasihan dia bela2in bapaknya gibran.",amnesti silfester pak vonis tahun masuk penjara kasih bela bapak gibran
"bersrti hakim dan jaksa d kasus itu error, ayo seret dalang d balik itu hha",bersrti hakim jaksa kasus error ayo seret dalang balik tertawa
"Makin lama negeri ini makin aneh.. wajar rakyatnya terbungkam dgn skenario pemimpin2 negeri ini..
Merdeka dijajah Negeri sendiri",negeri aneh wajar rakyat bungkam skenario pimpin negeri merdeka jajah negeri
"AYO PARA MAHASISWA SELURUH INDONESIA, KITA BUBARKAN DPR DAN MPR YANG TIDAK ADA MANFAATNYA . CUMA BUAT ANGGARAN TAMBAH BESAR DAN BANYAK KORUPTORNYA. KITA SERANG GEDUNG ITU DITGL 17.
UNDANGAN RESMI BUAT SELURUH MAHASISWA YANG KATANY PUNYA JIWA NASIONALIS😎😎",ayo mahasiswa indonesia bubar dewan wakil rakyat majelis musyawarat rakyat manfatnya angaran tambah besar koruptor serang gedung ditgl undang resmi mahasiswa kata punya jiwa nasionalis
KLU INI BENER HEBAT KLU CUMAN OMON YA PAYAH,benar hebat omon iya payah
bener bener negeri wano,benar benar negeri wano
"Sak senengmu wes
Getun milih",sak neng getun pilih
Semain main inikah??,main main
"Kalo macam ini makmurlah para koruptor, lebih parah dari presiden sebelumnya...",makmur koruptor parah presiden
"Ga setuju, lebih setuju prabowo jg diadili atas food estate-nya. Biar fufufafa yg jadi presiden",tuju tuju prabowo adil atas fod estate biar fufufafa jadi presiden
Ngapain di sidangkan klu ujung2nya seperti itu,sidang ujung
Ealaah cemen cemen 😂👎👎,iya takut takut
Koplo🤣🏴‍☠️,koplo
ta kiro gagah kyk Mbah Suharto ternyata...,kira gagah mbah soeharto nyata
"Negoro taek iki.... 
Bener2 gak bener semua jajarannya...
Wes tambah kacau aturan 2 pemerintah iki",negoro tai benar benar jajaranya tambah kacau atur perintah
Aku bangga di bilang Kadal gurun...,bangsa bilang kadal gurun
jendral taek gede omonge tok,jenderal tai gede omonge tok
Suara kayak radio tapi ternyata sinetron,suara kayak radio nyata sinema elektronik
satu kata RUWET,satu kata ruwet
Mari badut2 beraksi diatas hukum..Indonesia GELAPPPP,badut aksi atas hukum indonesia gelap
Abolisi biar ga rembes kemana2 kan? Ibarat memutus pipa kapiler agar kasusnya tidak merembet ke atas.,abolisi biar rembes putus pipa kapiler kasus rembet atas
Akhir dr sebuah sinetron..,akhir buah sinema elektronik
"prabowo disetir megawati wahh pasti dia diancam bakal dilengserkan kalau nekat jebloskan hasto, soalnya yang melengserkan gus dur dengan licik adalah megawati dan amin rais dua bajingan itu saya benci. herannya kok awet hidupnya gak mati""",prabowo setir megawati ancam bakal lengser nekat jeblos hasto soal lengser gus dur licik megawati amin rais bajing benci awet hidup mati
Kartu AS para petinggi RI ada di mereka berdua,kartu as tingi cari
"Ngapain harus repot repot jarwooo, tinggal perintahkan saja pada kejaksaan untuk berlaku jujur  sejujur jurnya adil seadil adilnya ,kalau memang tidak ada tindak pidana dgn sendirinya akan terbebas, bukan begitu jarwoo, jika mereka sebagai wakil tuhan tidak mau,  membandel ,tidak mau berlaku adil, dan jujur,maka silahkan lo yg turun tangan bos",repot repot jarwo tinggal perintah kejaksan laku jujur jujur jurnya adil adil adil tindak pidana bebas jarwo wakil tuhan bandel laku adil jujur sila turun tangan bos
Cair cair,cair cair
Negeri dagelan,negeri dagel
Pahlawan Nasional 😊,pahlawan nasional
Ga bisa berkata2.... Karena cuman rakyat jelata...,kata rakyat jelata
"Pesenan  🗿
Alhasil ijasah palsu tetap aman",pesan alhasil ijazah palsu tetap aman
"Ya jelas disetujui oleh DPR mereka kan spesies sejenis, fix DPR sarangnya",iya jelas tuju dewan wakil rakyat spesies jenis baik dewan wakil rakyat sarang
"Ngombe iki sik mak de,ben lbh lancar mikire",ngombe sil ibu adik ben lancar mikire
"Gek Negoro opo to ki2,hukum buat mainan",gek negoro to ki hukum main
Ini sih demi raja jawa,sih raja jawa
Komedi ta cruta nyata ini?,komedi cruta nyata
"Kalau Tom Lembong okelah karena tidak terbukti korupsi
Tapi yang satunya aasudahlah rakyat jelata bisa apa",tom lembong oke bukti korupsi satu rakyat jelata
Ko jadi sperti ini jendral.....politikmu sperti anak kecil 😂,jadi jenderal politik anak
"Beda kampanye ,beda realita..
Katanya sikat koruptor,koq malah kasih kesempatan kedua koruptor",beda kampanye beda realita kata sikat koruptor kasih koruptor
"Apa apa an ini ,  KANOHA OH KANOHA NEGRIKU TERCINTA...",an kohona kohona negeri cinta
"Hukum dinegara ini sprti diprmainkan, rakyat  mrsa dibodoh2i, dibuat skenario seakan2 tmpak baik didpan,nmun sbliknya mncari keuntungan bgi dirinya & kelompokny.",hukum negara diprmainkan rakyat mrsa bodoh skenario tmpak baik didpan sbliknya cari untung kelompokny
Negeri nya para dagelan 😁😁,negeri dagel
Tambah ngene se pak,tambah pak
"Yang saya heran sampai saat ini rakyat tenang hidup masih enak mahasiswa masih enak nongkrong ngopi di cafe.. meskipun kebijakan pemerintah memberatkan rakyat kecil LPG subsidi per tabung 20.000 bensin yg katanya subsidi 10.000 kalah harga lebih murah Malaysia..
Cita cita UUD mensejahterakan rakyat nyatanya menindas seluruh rakyat Indonesia dg pajak di segala lini.",heran sat rakyat tenang hidup enak mahasiswa enak nongkrong minum kopi cafe bijak perintah berat rakyat lpg subsidi tabung bensin kata subsidi kalah harga murah malaysia cita cita sejahtera rakyat nyata tindas rakyat indonesia pajak lini
"Gk yg dulu gk yg sekarang, caper mulu",cari perhati melulu
"Di pilih biar jadi presiden teryata bela kriminal,kalah tekanan sama oposisi teryata sama saja hukum buat mainan...",pilih biar jadi presiden teryata bela kriminal kalah tekan oposisi teryata hukum main
Maleng petek iso sampek dase bejot kabeh ..dan tetep di penjara.....gak ono amnesti...semakin👎,maleng petek dase bejot tetap penjara ono amnesti
Bebass wes loss doll,bebas los dol
"Kapan ngunu hari korupsi Indonesia,",hari korupsi indonesia
"Sudah tau kan kata almarhum Gus Dur.
Anak anak TK jadi wakil rakyat.
🤣🤣😜
Sampek kapanpun
Ya jangan pernah berharap
Sama pemikiran anak tk",tahu kata almarhum gus dur anak anak tk jadi wakil rakyat iya harap pikir anak tk
Untung aq g pernah milih,untung pilih
"Modele ae koyok teges""o tibak e podo kbh...ngeri ndelok negoro iki",modele koyok teges o tibak e podo kbh ngeri lihat negoro
Pisan ae pak wo....GK milih pean mnh AQ.....ajur tatanan...omon omon kosong doang😇,pak oi pilih pean manah ajur tatanan omon omon kosong doang
Sekalian aja pak  sama harun masiku dam koruptor koruptor yang lari ke luar negeri 😄,pak harun mas dam koruptor koruptor lari luar negeri
Wong ruwet kabeh...sk karep wess,orang ruwet surat putus karep
"Wkwkwkwk kocak, kwatir Mendag sebelum nya di tuntut balik, 
MENYALA MULYONO Sutradara Negeri KONOHA. 
Kita tunggu KISAH selanjutnya cerita si HASTO,",tertawa kocak kawatir menteri dagang tuntut balik nyala mulyono sutradara negeri konoha tunggu kisah lanjut cerita sil hasto
Lahh,
Wuuuuiihh seolah presiden berjasa 🤣🤣🤣,olah presiden jasa
"Ceritanya jadi pahlawan tp kesiangan, orang gak salah dan gak terbukti harusnya bebas",cerita jadi pahlawan siang orang salah bukti bebas
"Sekalian bu Kopipah kasih ""Abolisi Limited Edition"", pokok e aturen bebas & kebal gak usah di adili👍",bu kopipah kasih abolisi limited edition pokok e aturen bebas kebal perlu adil
indonesia darurat korupsi ..berlakukan sumpah pocong😂,indonesia darurat korupsi laku sumpah pocong
Kukira kau NKRI pak ..taunya omon2,kira negara satu republik indonesia pak tau omon
Tom..sgt pantas..aparat hukum n hakim karna pesanan..hasto jg pantas karna ditarget pak mul..,tom aparat hukum hakim pesan hasto target pak mul
"Demi politik Langkah awal presiden menyelamatkan
 orang - orang dilingkaran istana hahaa.. 
Presiden sadar tom dan hasto bukan orang sembarangan",politik langkah awal presiden selamat orang orang lingkar istana tertawa presiden sadar tom hasto orang sembarang
"GIMANA ITU, KALO TOM LEMBONG MENERIMA ABOLISI BERARTI SECARA FORMAL TEKSTUAL MENGAKUI MELAKUKAN TINDAK PIDANA, TAPI SECARA HUKUM TIDAK TERBUKTI,  ,   , HARUSNYA DIBEBASKAN KRN EMANG TDK TERBUKTI BERSALAH BKN KRN ABOLISI!!!! TEMBAK AZA ITU KEPALANYA HAKIMNYA!!!!",tom lembong terima abolisi arti cara formal tekstual laku tindak pidana cara hukum bukti bebas bukti salah abolisi tembak kepala hakim
Aturen wes manut opo jare,aturen manut jare
Enak ya jadi koruptor.. Dpr. Langsung setujuh . Koruptor di bebaskan. . Ladusing mintak tambahan anggaran dpr langsung setujuh. 10 thn uu korupsi sampai skrng blm di syahkan  anak banteng. Dan wajar dia langsung setujuh krn si aasto kan anak buah nya banteng,enak iya jadi koruptor dewan wakil rakyat langsung tujuh koruptor bebas ladusing mintak tambah angaran dewan wakil rakyat langsung tujuh tahun korupsi syah anak banteng wajar langsung tujuh sil asto anak buah banteng
"COK DANCOK LEK KARO WONG PODO DUE JABATANE.  DUEKE AKEH. HUKUM WES GAK ISO BERBUAT OPO OPO.  HUKUM DI GAE PERMAINAN. GAE SAK KEREPE DEWEK COK DANCOK NEGORO MODEL OPO IKI. TAMBAH SUE NEGORO GAK TAMBAH APIK TAMBAH GAK KARU KARUAN. TAMBAH RUSAK.  ATURAN YENGSORONO UWONG CILIK. TAPI NGENAKNO UWONG PEMERINTAH.  UWONG SENG DUE JABATAN...
GETON AKU MELEH PRABOWO.  OMONGE TOK SENG GEDABRUUS TAPI GAK COCOK AMBEK KENYATAANE...

DANCOK..

NEGORO ISO HANCUR. ISO RUSAK. ISO KENEK AZAB.  MERGO TOTOK PERBUATENE PEJABAT PEJABAT PEMERINTAH IKU DEWEK ...

CAM KAN KATA KATA KU IKI..",anjing jancuk lek orang podo due jabatane dueke hukum hukum gae main gae sak kerepe anjing jancuk negoro model tambah dasar negoro tambah apik tambah karu karuan tambah rusak atur yengsorono orang cilik ngenakno orang perintah orang seng due jabat geton meleh prabowo omonge tok seng gedabrus cocok ambek kenyatane jancuk negoro hancur rusak kenek azab mergo totok perbuatene jabat jabat perintah ikut cam kata kata ku
Ngnu kok bengok2  hkum koruptooorrr. Taekkk,ngnu bengok hukum koruptor tai
"Pak Tom tidak melakukan tindak pidana apa pun, jadi abolisi pun tidak pas. 
Yang benar dan adil dibebaskan karena tidak bersalah. 
Ada yg lagi cari perhatian rakyat. Jangan terkecoh.",pak tom laku tindak pidana jadi abolisi pas benar adil bebas salah cari perhati rakyat kecoh
"Astaghfirullah al'azdhiiim nontok berita akhir2 Iki kok ndasku mumet ,,onok harapan opo ora Yoo pemerintah saiki kebijakan e tumpul ke atas apa kebawah ,tajam kebawah apa ke atas 🥹",astaghfirulah al azdhim nontok berita akhir ndasku pusing onok harap iya perintah bijak e tumpul atas bawah tajam bawah atas
Negeri konoha,negeri konoha
"Bener jare Bambang pacul, kalah ambek oreya",benar jare bambang pacul kalah ambek oreya
Oposisi akan banyak sejak saat ini entah diam atau bergerak,oposisi sat diam gerak
"Karep2mulah,",karepmulah
inilah kenapa para pejabat pada senang kalau Prabowo jadi presiden.. tau sendiri kan.. bener - bener menuju Indonesia gelap.,jabat senang prabowo jadi presiden tahu benar benar tuju indonesia gelap
Amburadul,amburadul
"Perang Dingin, Probawo Mulai Mainkan Pionnya Dalam Sebuah Catur, Bahwa Intervensi Mulyono lambat Laun sudah Dibaca",perang dingin probawo mulai main pionya buah catur intervensi mulyono lambat laun baca
"Owalah Pak pak.. kok enak diamnesti.. baru saja diputuskan hukuman skrang diamnesti,mau  dibawa kmana pak ..hukum Indonesia..rakyatmu akan semakin membencimu dengan tindakanmu..kamu kalah dr tekanan saingan politikmu ,ngapain aja kerjamu..jadi apa hukum negara ini  pak..",walah pak pak enak amnesti baru putus hukum amnesti bawa pak hukum indonesia rakyat benci tindak kalah tekan saing politik kerja jadi hukum negara pak
Tidak jauh beda dengan pendahulunya...,jauh beda
"Susah lht pejabat skrng pd g jelas, d tahan aja blm, tau2 Amnesti muncul,payah smua ny presiden kyk ny bertaring, Ter nyt spt macan ompong / tdk tegas sm skl",susah lihat jabat jelas tahan tahu amnesti muncul payah presiden taring ter nyt macan ompong tegas
Nunggu demo besar2an disemua pulau,nungu demo besar pulau
Semoga bermanfaat dan selamat sampai tujuan🤲🤲🤲,moga manfaat selamat tuju
oke gas oke gas apane yo an,oke gas oke gas iya an
Takut terungkap semuanya...  Kalo diteruskan...,takut ungkap terus
"Kapan hari ada berita maling ayam dibakar massa, maling uang rakyat tetep aman sejahtera, bener kata penyair dunia ini panggung sandiwara, mungkin boleh ber angan2 akan ada film koruptor dibakar massa????",hari berita maling ayam bakar masa maling uang rakyat tetap aman sejahtera benar kata sair dunia pangung sandiwara ber angan film koruptor bakar masa
Wkwkw angel angel Lek pikiran wes kenek son horek 😂😂😂😂, susah susah lek pikir kenek son horek
"Setuju pak ,maka dari itu cita""sy  dr dulu mau jd koruptor,, dilindungi oleh negara,, sangat menguntungkan,,",tuju pak cita jadi koruptor lindung negara untung
"Menjadi bukti jika koruptor di lindungi di negara ini,,,",jadi bukti koruptor lindung negara
Karep karep PE wes pak wo wo ....kerep PE pean ..............wes......,karep karep pe pak oi oi kerep pe pean
Helluuuuhhh dagelan opo neh iki,huh dagel nih
Muak liat doraemon,muak lihat doraemon
"Mending bongso iki dijajah jepang ae,ketok moto drpd dijajah bongso dewe... lillahita'ala ga ridho aku",baik bongso jajah jepang ketok moto jajah bongso lilahita ala rida
Berita opo maneh iki ???,berita
Asal di laksanakan gak cuma OMON 2,asal laksana omon
Ayoo bilang terimakasih ke pak prabowo,ayo bilang terima kasih pak prabowo
Ojo terprovokasi dulur.tetap menjaga persatuan dan kesatuan NKRI.karena sekarang bnyak yg mengadu domba.sepurane lek aku salah dulur,ojek online provokasi dulur tetap jaga satu satu negara satu republik indonesia adu domba sepurane lek salah dulur
"Semua ulah Mulyono, hancurlah hukum di indonesia, Mulyono masih berkuasa, masih cawe2",ulah mulyono hancur hukum indonesia mulyono kuasa cawe
Jadi pengen pindah ke Korea Utara 🚀,jadi pindah korea utara
"Pesanan ,supaya GK di panggil JD saksi",pesan pangil jadi saksi
Karepmu wes boss,serah bos
Mukidi pak,mukidi pak
Karepmu,serah
Oke gas,oke gas
Merdekaaaa🙈🙈🙈🙈🙈,merdeka
Ngene ae tibak e,tibak e
Ngunu ta?,
Negoro mok gawe dulinan pak wo pak wo,negoro mok kerja dulinan pak oi pak oi
Sampah masyarakat yang sebenarnya,sampah masyarakat benar
hukum tajam kebawah tumpul diatas negeriku tercinta,hukum tajam bawah tumpul atas negeri cinta
sumpah wes tak badek sak durungnya,sumpah badek sak durungnya
Tambah goblok,tambah bodoh
Oalahhhh gathelllllll gathellllll,walah gathel gathel
Mapia,mafia
Wis sak karep mu,sak karep mu
Kok hasto diikut sertakan..aneh,hasto dikut aneh
"Utk Tom, ok. Rame kontroversi; Tom bilang dia melakukan instruksi presiden yg kayak itu. (Jika dikatakan) kesalahan, kasus Tom lebih kecil jauh.

Utk Hasto? Jelas kasus pidana.
Makanya Mbah Uti ""koalisi""?",tom oke ramai kontroversi tom bilang laku instruksi presiden kayak kata salah kasus tom jauh hasto jelas kasus pidana mbah uti koalisi
Ini hukum apa,hukum
Omon omon,omon omon
"luar biasa, skenarionya ternyata di luar prakiraan BMKG.

kita harus mengaku kalah lihai dan salah prediksi tentang ini semua 😂",luar skenario nyata luar prakiran bmkg kalah lihai salah prediksi
Mereka berdua tetap bersalah di mata hukum tapi di maafkan dg kekuasaan presiden 🙏.,tetap salah mata hukum mafkan kuas presiden
Lumayan punya piutang budi😁,lumayan punya piutang budi
"RUWET RUWET KORUPTOR KOK DI KASIH AMNESTI PAK PAK PEAN BUTA TA PAK,UUD PERAMPASAN ASET ITU SAHKAN",ruwet ruwet koruptor kasih amnesti pak pak pean buta pak ampas aset sahkan
Prabowo mana janji2mu waktu kampanye. Semua omong kosong... Sungguh munafik mengalahi sengkuni...,prabowo janji waktu kampanye omong kosong sungguh munafik kalah sengkuni
Kui pilianmu seng mok banggak banggakne,pilianmu seng mok bangak bangakne
"Proses hukumnya aja udah ga bener, terkesan dipaksakan, oke Tom Hasto🤟",proses hukum benar kesan paksa oke tom hasto
